Lake_code,Lake_abbr,Year,Period,B_mys,B_amp,Rel_mys,Rel_amp,PC_mys,PC_amp,PC,Area,Depth_max,Depth_ave,Flow,Lat,Lon
LTL43,Dusi,1957,P1,1,1,3,3,0,0,absent,2334,32.6,15.4,6,54.28974,23.688
LTL336,Aise,1959,P1,1,1,3,2,0,0,absent,501.2,40,10.4,123,55.30818,25.7549
LTL324,Asal,1959,P1,1,1,2,2,0,0,absent,334.6,33,10,430,55.35191,26.0443
LTL449,Asve,1959,P1,1,1,3,3,0,0,absent,1015.1,50.2,14.9,46,55.04408,25.50682
LTL157,Bala,1959,P1,1,1,1,3,0,0,absent,700.8,45,13.6,40,55.21629,25.60549
LTL211,Bals,1959,P1,1,1,3,3,0,0,absent,427.3,33.1,10.7,103,55.4029,26.02475
LTL327,Lusi,1959,P1,1,1,3,3,0,0,absent,391.4,37,13.9,249,55.3331,26.06637
LTL328,Saka,1959,P1,1,1,3,3,0,0,absent,79.5,40,16.5,1070,55.31709,26.05913
LTL328,Sies,1959,P1,1,1,1,1,0,0,absent,532,37.8,11.3,60,55.2309,25.53158
LTL221,Ukoj,1959,P1,1,1,3,2,0,0,absent,210,30.5,11.3,155,55.37258,25.97065
LTL171,Zara,1959,P1,1,1,3,3,0,0,absent,326.6,36.6,11.5,124,55.72683,26.2333
LTL445,Zeim,1959,P1,1,1,3,2,0,0,absent,454.6,23.5,6.9,698,55.28836,26.06128
LTL358,Bali,1975,P1,1,1,3,2,0,0,absent,251.6,37.5,12.5,52,55.04511,25.56411
LTL52,Druk,1975,P1,1,1,2,2,0,0,absent,4480,33.3,8.2,29,55.63152,26.60113
LTL158,Luok,1975,P1,1,1,1,2,0,0,absent,104.2,43.8,14.4,12,55.21088,25.42013
LTL340,Pers,1975,P1,1,1,2,1,0,0,absent,215.7,32.5,7.9,119,55.21899,25.79639
LTL348,Saka,1998,P1,1,1,3,3,1,1,present,79.5,40,16.5,1070,55.31709,26.05913
LTL336,Aise,1999,P1,1,1,3,2,0,0,absent,501.2,40,10.4,123,55.30818,25.7549
LTL449,Asve,1999,P1,1,1,3,3,0,1,present,1015.1,50.2,14.9,46,55.04408,25.50682
LTL157,Bala,1999,P1,0,1,0,3,0,0,absent,700.8,45,13.6,40,55.21629,25.60549
LTL211,Bals,1999,P1,1,1,3,3,0,0,absent,427.3,33.1,10.7,103,55.4029,26.02475
LTL43,Dusi,1999,P1,1,1,1,3,3,3,present,2334,32.6,15.4,6,54.28974,23.688
LTL221,Ukoj,1999,P1,1,1,3,2,0,0,absent,210,30.5,11.3,155,55.37258,25.97065
LTL43,Dusi,2000,P2,1,1,1,2,3,3,present,2334,32.6,15.4,6,54.28974,23.688
LTL43,Dusi,2002,P2,1,1,1,1,3,3,present,2334,32.6,15.4,6,54.28974,23.688
LTL445,Zeim,2002,P2,1,1,3,2,1,1,present,454.6,23.5,6.9,698,55.28836,26.06128
LTL336,Aise,2003,P2,1,1,3,2,0,0,absent,501.2,40,10.4,123,55.30818,25.7549
LTL324,Asal,2003,P2,1,1,2,2,1,1,present,334.6,33,10,430,55.35191,26.0443
LTL449,Asve,2003,P2,1,1,3,3,0,1,present,1015.1,50.2,14.9,46,55.04408,25.50682
LTL157,Bala,2003,P2,0,1,0,2,0,0,absent,700.8,45,13.6,40,55.21629,25.60549
LTL358,Bali,2003,P2,1,1,3,2,0,0,absent,251.6,37.5,12.5,52,55.04511,25.56411
LTL211,Bals,2003,P2,1,1,1,3,0,0,absent,427.3,33.1,10.7,103,55.4029,26.02475
LTL52,Druk,2003,P2,0,0,0,0,1,0,present,4480,33.3,8.2,29,55.63152,26.60113
LTL158,Luok,2003,P2,0,1,0,2,0,0,absent,104.2,43.8,14.4,12,55.21088,25.42013
LTL327,Lusi,2003,P2,1,1,3,3,2,1,present,391.4,37,13.9,249,55.3331,26.06637
LTL340,Pers,2003,P2,1,1,2,1,0,0,absent,215.7,32.5,7.9,119,55.21899,25.79639
LTL348,Saka,2003,P2,1,1,3,3,1,1,present,79.5,40,16.5,1070,55.31709,26.05913
LTL328,Sies,2003,P2,0,0,0,0,0,0,absent,532,37.8,11.3,60,55.2309,25.53158
LTL221,Ukoj,2003,P2,0,1,0,1,0,0,absent,210,30.5,11.3,155,55.37258,25.97065
LTL171,Zara,2003,P2,1,1,3,3,0,0,absent,326.6,36.6,11.5,124,55.72683,26.2333
LTL43,Dusi,2005,P2,0,0,0,0,3,3,present,2334,32.6,15.4,6,54.28974,23.688
LTL327,Lusi,2013,P2,1,1,3,3,2,2,present,391.4,37,13.9,249,55.3331,26.06637
LTL336,Aise,2021,P2,1,1,3,2,0,0,absent,501.2,40,10.4,123,55.30818,25.7549
LTL449,Asve,2021,P2,1,1,3,3,0,1,present,1015.1,50.2,14.9,46,55.04408,25.50682
LTL358,Bali,2021,P2,1,1,3,2,0,0,absent,251.6,37.5,12.5,52,55.04511,25.56411
LTL211,Bals,2021,P2,1,1,1,1,1,0,present,427.3,33.1,10.7,103,55.4029,26.02475
LTL327,Lusi,2021,P2,1,1,2,3,2,2,present,391.4,37,13.9,249,55.3331,26.06637
LTL340,Pers,2021,P2,0,0,0,0,0,0,absent,215.7,32.5,7.9,119,55.21899,25.79639
LTL171,Zara,2021,P2,1,1,3,3,0,0,absent,326.6,36.6,11.5,124,55.72683,26.2333